startt-ppa-id,personalInformation_name,company,designation,period
,Harsh Mani Tripathi,STAGE - OTT for Bharat,Co-Founder,Jul 2023 - Present
,Harsh Mani Tripathi,Multiple Startups,Angel Investor and Advisor,Jun 2017 - Present
,Harsh Mani Tripathi,First Cheque,Founding Venture Partner,Jan 2019 - Jan 2020
,Harsh Mani Tripathi,STAGE - OTT for Bharat (Formerly WittyFeed),Chief Product and Strategy Officer,Oct 2018 - Jan 2020
,Harsh Mani Tripathi,UpGrad.com,Director Of Products,Sep 2016 - Sep 2018
,Harsh Mani Tripathi,Pyoopil Education Technologies (Acquired by UpGrad),Founder and CEO,Oct 2013 - Sep 2016
,Harsh Mani Tripathi,Vilikh Technologies Pvt. Ltd.,Co-Founder,Aug 2010 - Aug 2013
,Harsh Mani Tripathi,Young India Fellowship - IFRE and University of Pennsylvania,Fellow,May 2012 - May 2013
,Harsh Mani Tripathi,CAT Systems,"President, Engineering",Jan 2010 - Aug 2010
,Hetal Sonpal,Various Startups,"Investor, Advisor, and Mentor",Sep 2016 - Present
,Hetal Sonpal,Atal Innovation Mission,Mentor of Change,Mar 2018 - Present
,Hetal Sonpal,Intel Technology India Pvt Ltd,"Head, Strategic Alliances",Oct 2012 - Aug 2016
,Hetal Sonpal,LinkedIn,"Director, Strategic Sales",Dec 2011 - Jul 2012
,Hetal Sonpal,Microsoft Corporation,Lead- Telecom Alliances,Feb 2011 - Dec 2011
,Hetal Sonpal,Wipro Infotech Ltd,Regional Sales Head,Mar 2000 - Feb 2011
,Himanshu Bhagat,LunarLogic Marketing Services LLP,Co-Founder,Apr 2023 - Present
,Himanshu Bhagat,Nikivya India Exim,Co-Founder,Apr 2023 - Present
,Himanshu Bhagat,LocoNav,Head of Marketing - Growth & Product,Mar 2022 - Feb 2023
,Himanshu Bhagat,Various Companies,Digital Business,Dec 2020 - Feb 2022
,Himanshu Bhagat,ICICI Lombard,"Associate Vice President, Digital Business",Aug 2017 - Jul 2020
,Himanshu Bhagat,BabyChakra,Marketing Head,Jun 2016 - Jul 2017
,Himanshu Bhagat,Kolabro Business Solutions,Co-Founder,Jun 2014 - Mar 2016
,Himanshu Bhagat,Gaadi Web Pvt Ltd,Marketing Lead - Gaadi.com,Jul 2012 - May 2014
,Himanshu Bhagat,Maxus Global,Business Manager,Oct 2011 - Mar 2012
,Himanshu Bhagat,Google,Account Planner,Apr 2010 - Aug 2011
,Himanshu Bhagat,Accenture,Associate Software Engineer,Aug 2007 - May 2008
,Jitesh Lohchab,Lohchab Motor Company Pvt. Ltd.,Director,Dec 2009 - Present
,Jitesh Lohchab,Deloitte Touche Tohmatsu,Senior Consultant,May 2007 - Oct 2008
,Jitesh Lohchab,Reliance Industries Limited,Summer Intern,Apr 2006 - Jun 2006
,Jitesh Lohchab,Maruti Suzuki India Limited,Graduate Engineer Trainee,Jun 2004 - Jun 2005
,Jitesh Lohchab,India Yamaha Motor Pvt. Ltd.,Summer Intern,May 2003 - Jun 2003
,Kailash Katkar,Quick Heal Technologies Ltd.,Founder and MD,Jan 1993 - Present
,Ketan J. Shah,Panini Advisory Services Private Limited,Managing Director,Oct 2016 - Present
,Ketan J. Shah,Daiwa Capital,Head - Investment Banking,Aug 2011 - Aug 2016
,Ketan J. Shah,Edelweiss Financial Services,Senior Vice President - Origination & Capital Markets,Jul 2009 - Aug 2011
,Ketan J. Shah,ICICI Securities,VP & Head Infrastructure,Jan 2004 - Dec 2007
,Ketan J. Shah,Ernst & Young Pvt. Ltd,Vice President,Jan 2003 - Dec 2004
,Ketan J. Shah,Torrent Power,GM (Finance),May 2000 - Oct 2003
,Ketan J. Shah,SBI Capital Markets Ltd.,AVP (Project Advisory & Capital Markets),Jan 1993 - Dec 1999
,Kishor Gokhru,Sharekhan,Business Partner Of Sharekhan & Managing Director of Gokhru investments,Jul 2004 - Present
,Kishor Gokhru,LIC,Insurance advisor,Sep 1991 - Dec 2004
,Kishor Gokhru,Sharekhan,Business Partner Of Sharekhan & Managing Director of Gokhru investments,Jul 2004 - Present
,Kishor Gokhru,LIC,Insurance advisor,Sep 1991 - Dec 2004
,Kunal Shah,CRED,Founder,Apr 2018 - Present
,Kunal Shah,Syrma SGS Technology Limited,Independent Director,Nov 2021 - Present
,Kunal Shah,Pine Labs,Independent Director,Aug 2021 - Present
,Kunal Shah,Bennett Coleman and Co. Ltd. (Times Group),Advisor To The Board,Oct 2017 - Present
,Kunal Shah,AngelList,Advisor,Jan 2018 - Present
,Kunal Shah,Multiple Companies,Investor,Jan 2016 - Present
,Kunal Shah,Sequoia Capital,Advisor,Jan 2017 - Dec 2017
,Kunal Shah,Internet and Mobile Association of India,Chairman,Jan 2016 - May 2017
,Kunal Shah,Y Combinator,Part-time Partner,Jan 2016 - Dec 2016
,Kunal Shah,Freecharge,Founder and Ex-CEO/Chairman,Aug 2010 - Oct 2016
,Kunal Shah,Multiple companies,Founder - CEO,Aug 2000 - Aug 2010
,Mahesh,Geodesic,Co-founder and Director,Apr 1999 - Oct 2008
,Mahesh,Channel V,Country Head,Jan 1999 - Oct 2000
,Mahesh,iCat,"Vice President, Marketing",Oct 1997 - Nov 1998
,Mahesh,CKS,"Partner, General Manager and Creative Director",Apr 1994 - Oct 1997
,Mahesh,MTV India,Country Consultant,Jul 1992 - Apr 1994
,Mahesh,Ogilvy & Mather,"Associate Creative Director, Copywriter",Apr 1990 - Apr 1994
,Mahesh,Grey,"Creative Supervisor, Copywriter",Jan 1987 - Mar 1990
,Mahesh,FCB / Ulka Advertising,Copywriter,Jan 1986 - Dec 1987
,Mahesh,ASP - a Birla-owned ad agency,Copywriter,Apr 1985 - Feb 1986
,Mahesh,Eureka Forbes Ltd,Sales Executive,Nov 1983 - Jun 1985
,Manoj Mehta,MTC GROUP,Chief Executive Officer,Jan 1990 - Present
,Manoj Mehta,Madhuban Toyota,Director,Apr 2016 - Present
,Manoj Mehta,Multi Metal Harbour PTE Ltd (Singapore),Director,Jan 2016 - Present
,Manoj Mehta,M M CERAMICS & FERRO ALLOYS PRIVATE LIMITED,Managing Partner,Mar 2015 - Present
,Manoj Mehta,Mercure Metals & Alloys Pvt Ltd,Director,Jan 2014 - Present
,Mohit Goel,Omaxe Limited,Managing Director,Oct 2012 - Present
,Munendra Singh,RainCan,Co Founder,Jul 2015 - Present
,Munendra Singh,ICICI Prudential Life Insurance Company Limited,Senior Manager - Investments,Apr 2013 - Jul 2015
,Munendra Singh,Deutsche Bank,Associate,Dec 2006 - May 2013
,Munendra Singh,Indian School of Business,Academic Associate,May 2006 - Nov 2006
,Muralikrishnan B,the hawkeye project,Curator,Jan 2025 - Present
,Muralikrishnan B,Various Companies,Early Stage Investor,Sep 2017 - Present
,Muralikrishnan B,Xiaomi India,President - Xiaomi India,Jul 2018 - Jan 2025
,Muralikrishnan B,Myntra Jabong,Senior Vice President,Jan 2018 - May 2018
,Muralikrishnan B,Jabong,Chief Operating Officer,Mar 2016 - Dec 2017
,Muralikrishnan B,IndiaProperty.com,Chief Operating Officer,Oct 2014 - Feb 2016
,Muralikrishnan B,Almond Wellness Tech Pvt Ltd,Co-Founder,Oct 2013 - Sep 2014
,Muralikrishnan B,Nirvana Venture Advisors,Entrepreneur in Residence,Sep 2013 - Jan 2014
,Muralikrishnan B,eBay Inc,Country Manager / Sr Director - India,Aug 2005 - Jun 2013
,Muralikrishnan B,Tata Communications / VSNL,Sr Manager - Product Delivery,Aug 2004 - Jul 2005
,Muralikrishnan B,Sify Ltd,Sr Manager - Product Development,Apr 2000 - Aug 2004
,Muralikrishnan B,Asian Paints,Area Manager,Jun 1997 - Apr 2000
,Neeraj Roy,Hungama Digital Media Entertainment Ltd.,Founder & CEO,Apr 1999 - Present
,Neeraj Roy,H2,Co Chair,Sep 2016 - Present
,Neeraj Roy,Prime Securities Limited,Vice President,Jan 1995 - Feb 1999
,Neeraj Roy,Taj Group of Hotels,Marketing Manager,Jun 1990 - Dec 1994
,Nirbhik Jangid,The Dapp List,Founder,Oct 2020 - Present
,Nirbhik Jangid,Polygon Technology,Growth Hacker & Global Community Manager,May 2018 - Aug 2020
,Nirbhik Jangid,Pineapple Consulting,Digital Marketing & Client Servicing - Management Trainee,Jul 2016 - Jan 2018
,Nirbhik Jangid,Universal Business School,General Secretary CSR,Aug 2015 - Aug 2016
,Nirbhik Jangid,ExCoLearn Pvt. Ltd.,Chief Executive Officer,Jan 2016 - May 2016
,Nirbhik Jangid,Dalal Times,Marketing and Sales Intern,May 2015 - Jul 2015
,Nirbhik Jangid,Frnds Another Name of Life (FB Page),Copywriter/Content Manager,Jan 2011 - Dec 2015
,Nirbhik Jangid,Innovative Platoon,Market Research Intern,Feb 2013 - Mar 2013
,Nitin Kaushal,Country Delight,Co-Founder,Jan 2015 - Present
,Nitin Kaushal,Hong Kong and Shanghai Banking Corporation,Vice President Corporate Banking,Feb 2010 - Dec 2014
,Nitin Kaushal,HSBC,Associate Vice President Corporate Banking,Jan 2008 - Jan 2010
,Nitin Passi,Lotus Herbals Ltd.,Director,Jan 2003 - Present
,Nitin Passi,Deloitte Consulting,Senior Consultant,Jan 2000 - Dec 2002
,Not Provided,Incrypt Blockchain,Founder,Jun 2017 - Present
,Not Provided,Lightbox Ventures,Founding Principal,May 2013 - Dec 2016
,Not Provided,EverFi,"Vice President, Strategy and Business Development",Jan 2010 - Dec 2011
,Not Provided,New Enterprise Associates (NEA),Investor,Jul 2008 - Aug 2010
,Not Provided,UBS Investment Bank,Analyst - Technology Corporate Finance and M&A,Jan 2006 - Dec 2008
,Pranav Sharma,Agna,Founder,Oct 2023 - Present
,Pranav Sharma,Woodstock Fund,Founding Partner,Feb 2019 - Present
,Pranav Sharma,ZeroSwap Labs,Advisor,Sep 2020 - Present
,Pranav Sharma,Orion Protocol,Advisor,Jan 2020 - Present
,Pranav Sharma,AllianceBlock,Advisor,Dec 2018 - Present
,Pranav Sharma,Alpha Omega Capital Partners,Advisor,Sep 2018 - Jun 2020
,Pranav Sharma,Aditya Birla Sun Life Insurance,"Joint Vice President, Head - SME Development",Jan 2015 - Jan 2018
,Pranav Sharma,Aditya Birla Management Corporation Pvt Ltd,Business Development & Strategy - Aditya Birla Capital,Aug 2009 - Dec 2014
,Pranav Sharma,Aditya Birla Group,Leadership Associate,May 2007 - Aug 2009
,Pranav Sharma,Alternergy Ltd,Associate (Full-time)/Consultant (Part-Time),Aug 2007 - Mar 2008
,Pranav Sharma,Suzlon Energy Ltd,Executive Marketing,Jul 2005 - Jun 2006
,Pranav Sharma,Sandvik Coromant,Productivity Improvement Engineer,Aug 2003 - Jul 2005
,Pranay Chulet,Tarmack,Co-Founder,Jul 2022 - Present
,Pranay Chulet,Quikr,Founder,Jan 2009 - Present
,Pranay Chulet,Sabbatical,Artist At Large,Jan 2007 - Dec 2008
,Pranay Chulet,Booz Allen Hamilton,Principal,Jan 2005 - Dec 2007
,Pranay Chulet,PwC Consulting/IBM,Associate Partner,Jan 2002 - Dec 2005
,Pranay Chulet,Walker Digital,"Business Head, ReferenceCheck",Jan 2000 - Dec 2001
,Pranay Chulet,Mitchell Madison Group,Engagement Manager,Jan 1997 - Dec 2000
,Pranay Gupta,Stayvista,"Partner, Stayvista Goa",Apr 2023 - Present
,Pranay Gupta,91ventures,Founder,Sep 2020 - Present
,Pranay Gupta,91springboard,Co Founder,Mar 2013 - Present
,Pranay Gupta,magicpin (Samast Technologies),"Vice President, Growth & Business Development",Jul 2021 - Feb 2023
,Pranay Gupta,Indian STEP and Business Incubator Association,"Member, Governing Board",Jul 2012 - Mar 2022
,Pranay Gupta,Software Product Development Fund,"Member, Working Group",Nov 2019 - Aug 2021
,Pranay Gupta,Access Livelihoods Consulting India,"Member, Advisory Board, Transforming India Initiative",Apr 2017 - Nov 2020
,Pranay Gupta,"Startup Promotion Cell, Goa",Expert,Jan 2019 - May 2020
,Pranay Gupta,NewGen IEDCs & Student Start-up under NIDHI,"Member, National Experts Advisory Committee on Entrepreneurship in Education",Jan 2017 - Mar 2019
,Pranay Gupta,AlmaConnect,Board Member,Mar 2016 - Feb 2019
,Pranay Gupta,Anthill Ventures,"Member, Investment Committee",Aug 2016 - Jul 2018
,Pranay Gupta,Central University Of Rajasthan,"Member, Expert Selection Committee for STIDE",Oct 2012 - Feb 2016
,Pranay Gupta,Centre for Incubation and Business Acceleration,"Member, Board of Governors",Jun 2012 - Mar 2013
,Pranay Gupta,Centre for Innovation Incubation and Entrepreneurship,Joint CEO,Jan 2009 - Mar 2013
,Pranay Gupta,Nomura Securities,Associate,Oct 2008 - Dec 2008
,Pranay Gupta,Lehman Brothers,Associate,Aug 2007 - Sep 2008
,Prasad Rao,Alt-Kuznets Sustainability Advisors OPC Pvt Ltd,Director,May 2021 - Present
,Prasad Rao,"Private Energy, Environmental and Mineral Economist","Private Energy, Environmental and Mineral Economist",Oct 2000 - Present
,Prasad Rao,American Petroleum Institute,"Economist, Policy Analysis and Strategic Planning",Oct 1993 - Feb 1998
,Prasad Rao,Indian Rare Earths,Assistant Engineer (Planning and Coordination),Feb 1987 - Jul 1989
,Prashanth Prakash,Accel,Partner,Aug 2008 - Present
,Prashanth Prakash,The/Nudge Institute,Founding Angel,Oct 2021 - Present
,Prashanth Prakash,United Way of Bengaluru,Member Board of Directors,Jan 2013 - Present
,Prashanth Prakash,Erasmic Venture Fund,Partner,Sep 2005 - Jul 2008
,Prashanth Prakash,Netkraft,CEO,Jan 2004 - Aug 2005
,Prashanth Prakash,Visual Reality,CEO,Jan 1995 - Aug 1997
,Prem Rajani,Rajani Associates,Managing Partner,Nov 1999 - Present
,Prem Rajani,"Rajani, Singhania & Partners",Managing Partner,Nov 2013 - Oct 2015
,Priyamvada Balaji,Delphi-TVS,Executive director,Apr 2021 - Present
,Priyamvada Balaji,Lucas TVS Ltd,Executive director,Jul 2014 - Present
,Priyamvada Balaji,Lucas Indian Service,Whole time Director,Feb 2013 - Present
,Priyamvada Balaji,The Chennai Angels,Member,Dec 2016 - Present
,Priyamvada Balaji,Fitch Ratings India Pvt Ltd,Senior Director - corporate ratings,Aug 2004 - Dec 2011
,Priyamvada Balaji,HSBC,Relationship Manager,Apr 2002 - Mar 2003
,Priyamvada Balaji,Arthur Andersen,Associate,May 2000 - Mar 2002
,Pulkit Jain,Vedantu,Co-founder,Jan 2012 - Present
,Pulkit Jain,Lakshya Institute,Co-Founder,Mar 2006 - Apr 2014
,Pulkit Jain,Evalueserve,Business Analyst,Jun 2005 - Mar 2006
,Pushkar Singh,LetsTransport.in,CEO & Co Founder,Apr 2015 - Present
,Pushkar Singh,ITC Limited,Assistant Manager - Operations | Quality,Jun 2013 - Feb 2015
,Pushkar Singh,NatSteel Holdings Pte Ltd,Intern,May 2012 - Jul 2012
,Pushkar Singh,"Indian Institute of Technology, Kharagpur","Student Coordinator, Placement committee",Jul 2011 - Jun 2012
,Pushkar Singh,University of Alberta,Intern,May 2011 - Jul 2011
,Pushkar Singh,GE Transportation,Intern,May 2010 - Jul 2010
,Rachit Poddar,Nine Spar Partners,Partner,Aug 2022 - Present
,Rachit Poddar,JB Ventures,Partner,Feb 2022 - Present
,Rachit Poddar,The Southern Gujarat Chamber of Commerce and Industry (SGCCI),Chief Patron,Jun 2021 - Present
,Rachit Poddar,Marwari Catalysts,Co-Founder & Investor,Dec 2020 - May 2022
,Rachit Poddar,ah! Ventures,Venture Partner,Apr 2021 - Apr 2022
,Rachit Poddar,Westminster Business Consultants,Business Development Consultant,Feb 2020 - Aug 2020
,Raghavendra Prabhu,Niyara Capital Solutions Pvt Ltd,Founder & CEO,Jul 2023 - Present
,Raghavendra Prabhu,Niyara Workforce Solutions Private Limited,"Founder, Mentor & Board Member",Oct 2023 - Present
,Raghavendra Prabhu,SelFin India Financial Services Private Limited,Chief Executive Officer,Nov 2022 - Jun 2023
,Raghavendra Prabhu,Auxilo Finserve Private Limited,CFO,Jun 2018 - Nov 2020
,Raghavendra Prabhu,InCred - Borrow. With Confidence.,Director Finance,Oct 2017 - May 2018
,Raghavendra Prabhu,Shapoorji Pallonji Finance,CFO,Apr 2016 - Oct 2017
,Raghavendra Prabhu,Indostar Capital Finance,VP & Financial Controller,Jul 2011 - Apr 2016
,Raghavendra Prabhu,Edelweiss Capital,AVP - Finance,Feb 2011 - Jul 2011
,Raghavendra Prabhu,Spice Finance,Vice President,Aug 2009 - Mar 2011
,Raghavendra Prabhu,Reliance Money (Reliance ADA Group),Associate Vice President,Jul 2006 - Jul 2009
,Raghavendra Prabhu,ICICI Securities,Sr Manager,Dec 2002 - Jul 2006
,Raghavendra Prabhu,Stock Holding Corporation of India,Executive,May 2000 - Dec 2002
,Rahul Gupta,RT Global Infosolutions,Founder/Co-Founder,Oct 2012 - Present
,Rahul Gupta,Evista Homes & Resorts,Founder/Co-Founder,Oct 2012 - Present
,Rahul Gupta,SCG Design Solutions,Founder/Co-Founder,Oct 2012 - Present
,Rahul Gupta,Meraki Venture Capital,Founder/Co-Founder,Oct 2012 - Present
,Rahul Gupta,Yogafi.org,Founder/Co-Founder,Oct 2012 - Present
,Rahul Gupta,VectorCapital,Co-Founder and Director,Jan 2020 - Mar 2021
,Rahul Gupta,Tridiagonal Solutions Pvt Ltd,Director & CEO,Aug 2011 - Sep 2012
,Rahul Gupta,Sonoma Management Partners Private Ltd,President - Portfolio Operations,May 2008 - Mar 2012
,Rahul Gupta,IDES,Managing Director & CEO,Jan 2007 - Dec 2008
,Rahul Gupta,KMG,Managing Director,Jan 2002 - Dec 2007
,Rahul Gupta,QAI,CFO,Jan 2001 - Dec 2002
,Rahul Gupta,Ocean Sparkle Ltd.,Director,Jan 1997 - Dec 2001
,Rahul Gupta,Globsyn Technologies Ltd.,Director,Jan 1997 - Dec 2001
,Rahul Gupta,IFCI Venture/RCTC,Asst General Manager,Jan 1993 - Dec 2001
,Rahul Gupta,SQL Star International Ltd.,Director,Jan 1993 - Dec 2001
,Rahul Gupta,SM Telesys Ltd.,Director,Jan 1995 - Dec 1999
,Rahul Narvekar,The India Network,Founder CEO,Jun 2016 - Present
,Rahul Narvekar,NDTV Ethnic Retail Limited,Founder CEO,Jan 2013 - Mar 2016
,Rahul Narvekar,Fashion and you,Co Founder and Director Brand Sourcing,Oct 2009 - Oct 2011
,Rahul Narvekar,DLF Retail Developers LTD,Senior General Manager,Apr 2008 - Sep 2009
,Rahul Narvekar,Suncity Projects,Head Retail,Apr 2007 - Apr 2008
,Rahul Narvekar,ANsal API,Vice President,Jan 2001 - Sep 2004
,Rahul Seth,Industrial47,Founder & General Partner,Jul 2024 - Present
,Rahul Seth,Pranos Fusion,Investor,May 2024 - Present
,Rahul Seth,Antler,Scouting Director & Investor,Jan 2021 - Jan 2025
,Rahul Seth,gradCapital,Venture Advisor,Jan 2021 - Present
,Rahul Seth,BITS Spark,Chief Executive Officer,Dec 2018 - Feb 2021
,Rahul Seth,WeWork Labs India,Advisor Corps Founder,Aug 2018 - Jan 2019
,Rahul Seth,Indian Army,Company Commander,Aug 2017 - May 2018
,Rahul Seth,Bharosa Advisor,Founding Team & VP Product,Jun 2015 - Jul 2017
,Rahul Seth,Phyzok Learning Solutions,"Head, Product Design",Dec 2013 - Jan 2015
,Rahul Seth,The Smart Cube,Business Analyst,Aug 2013 - Dec 2013
,Raj Shamani,House of X,Founder,Jan 2023 - Present
,Raj Shamani,Figuring Out Media,Content Creator,Jan 2021 - Present
,Raj Shamani,Shamani Industries,Founder,Dec 2015 - Dec 2020
,Raj Shamani,United Nations,Speaker,May 2015 - Jun 2015
,Raj Shamani,AIESEC,Team Member,Aug 2013 - Feb 2014
,Rajan Navani,JetSynthesys Pvt. Ltd.,Founder & CEO,Sep 2014 - Present
,Rajan Navani,Jetline Group Of Companies,Chairman and Managing Director,Jan 1997 - Present
,Rajan Navani,India@75 (A CII Initiative),Founding Trustee,May 2012 - Present
,Rajan Navani,Confederation of Indian Industry,"National Chair, India@75 Council, CoChair Evolv, Past National Chair Future Business & Young Indians",Apr 2007 - Present
,Rajan Navani,US India Business Council (USIBC),Global Board Member,Dec 2019 - Present
,Rajan Navani,Ananta Aspen Centre,Chairman of the Board of Trustees,May 2018 - Present
,Rajan Navani,Indiaspora Forum,Founding Board Member,Jun 2013 - Present
,Rajan Navani,256 Network,Founding Board Member,Mar 2019 - Present
,Rajan Navani,GivingPi,Founding Board Member,Apr 2022 - Present
,Rajan Navani,NASA Goddard Space Flight Center,Imaging Engineer,Jan 1996 - Dec 1997
,Rajesh Rai,Rheumera,Board Observer,Nov 2024 - Present
,Rajesh Rai,Remidio,Board Director,Jun 2018 - Present
,Rajesh Rai,TiE DC Angels,"President, TiE DC; Chair, TiE DC Angels",Jan 2022 - Present
,Rajesh Rai,Montane Ventures,"Partner, Advisor",Jun 2017 - Present
,Rajesh Rai,Virginia Venture Partners,Venture Partner,Jun 2017 - Jun 2024
,Rajesh Rai,SEDEMAC,"Board Director, Observer",Sep 2011 - May 2024
,Rajesh Rai,Hybrent,Board Director,Jan 2016 - Dec 2021
,Rajesh Rai,Skillenza,Co-Founder,Jan 2013 - Dec 2017
,Rajesh Rai,India Innovation Fund,"CEO, Advisor",Jan 2010 - Dec 2017
,Rajesh Rai,New Markets Venture Partners,Co-Founder and General Partner,Jan 2001 - Dec 2010
,Rajiv Mehta,Athera Venture Partners (formerly Inventus India),Managing Director & General Partner,Feb 2023 - Present
,Rajiv Mehta,ClickPost,Board Member,Apr 2024 - Present
,Rajiv Mehta,iD Fresh Food (India) Pvt. Ltd.,Board Member,May 2023 - Present
,Rajiv Mehta,Stovekraft Private Limited,Board Member & Chief Executive Officer,May 2018 - Feb 2023
,Rajiv Mehta,Indian Angel Network,Board Member/Mentor,Sep 2008 - Feb 2023
,Rajiv Mehta,KAN DFY Sports Pvt Ltd,Founder & Director,Jul 2017 - Aug 2019
,Rajiv Mehta,Arvind Sports Lifestyle Ltd & Arvind Fashion Brands Ltd,CEO,Nov 2014 - May 2017
,Rajiv Mehta,Puma,Managing Director (South Asia),Jun 2005 - Sep 2014
,Rajiv Mehta,BOC Group,Process Engineer,Jan 2001 - Dec 2004
,Rakesh Somani,Decode Age,Co-Founder,Aug 2021 - Present
,Rakesh Somani,Sumicot Limited,Director,Jan 2013 - Present
,Ram Kumar Kakani,Indian Institute of Management Raipur,Director,Mar 2022 - Present
,Ram Kumar Kakani,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR","Board Member (IB), (GB), (AC), (SHAC), Vice Chairperson (SSC)",Mar 2022 - Present
,Ram Kumar Kakani,"Hidayatullah National Law University, Raipur","Member, Governing Council",Mar 2023 - Present
,Ram Kumar Kakani,"Indian Institute of Management, Kozhikode",Professor,May 2019 - Present
,Ram Kumar Kakani,"Indian Institute of Technology, Bhilai",Board Member,Mar 2022 - Aug 2022
,Ram Kumar Kakani,XLRI Jamshedpur,Professor,Mar 2001 - Apr 2019
,Ram Kumar Kakani,Lal Bahadur Shastri National Academy of Administration (LBSNAA),Professor,Jul 2012 - Jan 2015
,Ram Kumar Kakani,Lagos Business School,ICCR Chair Professor,Jul 2013 - Dec 2013
,Ram Kumar Kakani,S P Jain Center of Management,Professor,Nov 2006 - Mar 2008
,Ram Kumar Kakani,Copenhagen Business School,Visiting Research Scholar,Jan 2000 - Jun 2000
,Ram Kumar Kakani,Steel Authority of India Limited,Junior Manager (Operations),Nov 1992 - Jun 1995
,Ram Kumar Kakani,Engineers India Limited,Management Trainee (Technical),Jul 1992 - Nov 1992
,Rangarajan Krishnan,Five-Star Business Finance Limited,Joint Managing Director,Aug 2015 - Present
,Rangarajan Krishnan,Spark Capital Advisors (India) Private Limited,President,Feb 2010 - Jul 2015
,Rangarajan Krishnan,"International Finance Corporation, World Bank",Associate Investment Officer,May 2008 - Feb 2010
,Rangarajan Krishnan,Standard Chartered Bank,"Associate Director, Wholesale Banking",Jan 2006 - Mar 2007
,Rangarajan Krishnan,HDFC Bank,"Relationship Manager, Corporate Banking",Jun 2002 - Dec 2005
,Ravi Saxena,Wonderchef Home Appliances Pvt Ltd.,Founder and CEO,Mar 2009 - Present
,Ravi Saxena,Haqdarshak,Director,Oct 2018 - Apr 2024
,Ravi Saxena,SDA Bocconi Asia Center,Founding Director,Nov 2011 - Dec 2015
,Ravi Saxena,New Silk Route,Director Hospitality Investments,Sep 2008 - Dec 2008
,Ravi Saxena,Landmark Group,Managing Director,Jul 2006 - Aug 2008
,Ravi Saxena,Sodexo Benefits and Rewards Services,CEO and MD,Oct 1994 - Jul 2006
,Rikant Pittie,EaseMyTrip.com,Co-Founder,Jul 2008 - Present
,Rishab Malik,Jungle Ventures,Partner,Sep 2020 - Present
,Rishab Malik,droom Technology,Co-founder and Vice-President of Business Development,Jan 2015 - Mar 2019
,Rishab Malik,Frrole AI,Advisor,Nov 2012 - Nov 2017
,Rishab Malik,GSF India,Operating Partner,Aug 2013 - Jan 2015
,Rishab Malik,GSF Accelerator,Entrepreneur in Residence,Jul 2012 - Aug 2013
,Rishab Malik,GITP Pte Ltd,"Investment Advisor, India",Feb 2013 - Jan 2014
,Rishab Malik,The Hub,Founding Member,May 2012 - May 2013
,Rishab Malik,Bestylish.com,Director,Sep 2012 - Apr 2013
,Rishab Malik,Figr,Co-Founder and Director,Oct 2010 - Jun 2012
,Rishab Malik,Xander Advisors,Summer Associate,Jun 2010 - Aug 2010
,Rishab Malik,Leighton International,"Business Analyst, Investments & Acquisitions",Jan 2008 - Jan 2010
,Rishab Malik,FLAG Telecom/ Reliance Communications,"Manager, Marketing & Strategy",Jun 2006 - Jan 2008
,Rishab Malik,GE Capital Services,Transfer Pricing Analyst,Jan 2006 - May 2006
,Rishab Malik,Motorola,Intern,Jan 2002 - Dec 2004
,Ritesh Dwivedy,Sprink.Online,Co-Founder,May 2015 - Present
,Ritesh Dwivedy,justeat.in,Founder,Jul 2006 - May 2015
,Ritesh Dwivedy,ketera,Senior Software Engineer,Jun 2005 - Jul 2008
,Ritesh Dwivedy,Tavant Technologies,Software Engineer,Feb 2004 - Jun 2005
,Rohit Srivastava,"Indian Institute of Technology, Bombay",Himanshu Patel Chair Professor of Applied Biosciences,Mar 2021 - Present
,Rohit Srivastava,Med Inno Tec Pvt Ltd,Co-Founder,Nov 2023 - Present
,Rohit Srivastava,SINE IIT Bombay,Clinicosis Pvt Ltd Founder,Oct 2023 - Present
,Rohit Srivastava,Reproductive Lifeseed Pvt Ltd,Co-Founder,Oct 2023 - Present
,Rohit Srivastava,Audosens Pvt Ltd,Co-Founder,Jun 2023 - Present
,Rohit Srivastava,IIT Bombay,Head of Department of Biosciences and Bioengineering,May 2019 - Nov 2022
,Rohit Srivastava,Louisiana Tech University,Graduate Student,Jan 2000 - Dec 2005
,Rohit Srivastava,Tata Consultancy Services,Assistant System Engineer,Jan 1999 - Dec 2000
,Graviss Hospitality Ltd.,Graviss Hospitality Ltd.,Chief Executive Officer,Mar 2008 - Dec 2013
,Graviss Hospitality Ltd.,InterContinental Marine Drive Mumbai,General Manager,Apr 2005 - Dec 2013
,Graviss Hospitality Ltd.,New Millennium Hospitality,Director (Entrepreneurial Venture owned by Self),Jan 2002 - Dec 2005
,Graviss Hospitality Ltd.,Taj Group of Hotels,Asst Food & Beverage Manager,Jan 1995 - Dec 2002
,Sachin Agrawal,Bizongo,Co-Founder,Dec 2014 - Present
,Sachin Agrawal,Gravitas,Risk Manager,Jun 2012 - Feb 2015
,Sachin Agrawal,Biocon,Project Trainee,May 2011 - Jul 2011
,Sachin Agrawal,"Techfest, IIT Bombay",Manager,May 2010 - Jan 2011
,Sachin Agrawal,PepsiCo,Project Trainee,Dec 2009 - Jan 2010
,Sahil Jain,The Medical Travel Company,CEO & Co-Founder,Aug 2024 - Present
,Sahil Jain,Vayuh.com,Chief Strategic Advisor,Jan 2024 - Present
